"Léon Victor Jean Thienpont","Victor Jean Thienpont","Thienpont"
"Henri Julien Allard","Henri Julien Allard","Allard"
"Charles Nicolas Deliège","Nicolas Deliège","Deliège"
"Xavier Victor Thibaut","Victor Thibaut","Thibaut"
"Joseph Jules Descamps","Jules Descamps","Descamps"
"Jacques Nicolas Elias","Nicolas Elias","Elias"
"Adile Eugène Mulle de ter Schueren","Eugène Mulle de ter Schueren","Mulle de ter Schueren"
"Charles Camille Castilhon","Camille Castilhon","Castilhon"
"Eugène Charles de Dorlodot","Charles de Dorlodot","de Dorlodot"
"Charles Emile Balisaux","Emile Balisaux","Balisaux"
"Adolphe Drion du Chapois","Drion du Chapois","Drion"
"Jean Martin Dohet","Martin Dohet","Dohet"
"Edward Osy de Zegwaart","Osy de Zegwaart","Osy"
"Gustave Rolin Jaequemyns","Rolin Jaequemyns","Rolin-Jaequemyns"
"Charles Léopold Mallar","Léopold Mallar","Mallar"
"Victor Emile Fris","Emile Fris","Fris"
"Pierre Jules Lejeune","Jules Lejeune","Lejeune"
"Auguste Doucet de Tillier","Doucet de Tillier","Doucet"
"Auguste Raemdonck van Megrode","Raemdonck van Megrode","Raemdonck"
"Joseph Nicolas Van Naemen","Nicolas Van Naemen","Van Naemen"
"Jules Martin Philippot","Martin Philippot","Philippot"
"Hyacinthe Eugène Cartuyvels","Eugène Cartuyvels","Cartuyvels"
"Dieudonné Alfred Ancion","Alfred Ancion","Ancion"
"Pierre Joseph Grosfils","Joseph Grosfils","Grosfils"
"Paul Marie Delvaux","Marie Delvaux","Delvaux"
"Charles Ullens de Schooten","Ullens de Schooten","Ullens"
"Henri Alexis Brialmont","Alexis Brialmont","Brialmont"
"François Prosper Hanrez","Prosper Hanrez","Hanrez"
"Achille Albert Eeman","Albert Eeman","Eeman"
"Jules de Montpellier d'Annevoie","de Montpellier d'Annevoie","de Montpellier"
"Jules Melchior Brabant","Melchior Brabant","Brabant"
"Emile de Lalieux de La Rocq","de Lalieux de La Rocq","de Lalieux"
"Jules Maenhaut van Lemberge","Maenhaut van Lemberge","Maenhaut"
"Henri Duquesne Watelet de la Vinelle","Duquesne Watelet de la Vinelle","Duquesne"
"Edouard Jean de Rouillé","Jean de Rouillé","de Rouillé"
"Dieudonné Alfred Ancion","Alfred Ancion","Ancion"
"Albert Alexandre Lefebvre","Alexandre Lefebvre","Lefebvre"
"Joseph Louis Descamps","Louis Descamps","Descamps"
"Jan Mahieu Liebaert","Mahieu Liebaert","Liebaert"
"Maurice de Maere d'Aertrycke","...","..."
"Charles Van Marcke de Lummen","...","..."
"Adolphe de Limburg Stirum","...","..."
"Fernand de Wouters d'Oplinter","...","..."
"Emile de Lalieux de La Rocq","...","..."
"Charles Gillès de Pelichy","...","..."
"Jean-Baptiste de Ghellinck d'Elseghem","...","..."
"Jules Maenhaut van Lemberge","...","..."
"Louis de Brouchoven de Bergeyck","...","..."
"Albert Palmers de Terlaemen","...","..."
"Léon du Bus de Warnaffe","...","..."
"Fernand de Wouters d'Oplinter","...","..."
"Gaston Behaghel de Bueren","...","..."
"Pierre de Liedekerke de Pailhe","...","..."
"Pierre Guillaume Imperiali des Princes de Francavilla","...","..."
"Alfred François Galopin","...","..."
