1854,"M. Valider Donckt, rapporteur.","Van der Donckt"
1854,"Mi. Teseh.","Tesch"
1854,"HI Co onaans.","Coomans"
1854,"M. Dcllafailic.","Dellafaille"
1857,"191. JT. Jfonret","Jouret"
1857,"H. de Man d'Attcnrode (par motion d'ordre).","de Man d'Attenrode"
1857,"HI. de ninelenacre.","de Muelenaere"
1862,"RI. Henri Duanortlf r.","Henri Dumortier"
1862,"53. Tiitfo.inS","Thienpont"
1862,"Sr. Se ps-esliieat.","le président"
1862,"•ta. de Aaejer.","de Naeyer"
1866,"US. Yandct* Donckt.","Van der Donckt"
1866,"M. Vlciasisiclix.","Vleminckx"
1866,"M. Hnyez.","Hazez"
1866,"If. Vander Woncfct, rapporteur","Van der Donckt"
1866,"Bf. Bïoreau.","Moreau"
1870,"M. Bielniyek.","Biebuyek"
1870,"M. d'Auethan, ministre des affaires étrangères.","d'Anethan"
1870,"M. Mnllcr.","Muller"
1870,"M. de Bacts.","de Baets"
1873,"W. Le Alardy de Heaulieu.","Le Hardy de Beaulieu"
1873,"M. BoHÏenger.","Boulenger"
1873,"M. Jncobs.","Jacobs"
1878,"M. Frèra-Orban.","Frère-Orban"
1878,"M. Coomnns.","Coomans"
1878,"St. Malo-u, ministre des finances.","Malou"
1878,"M. Be Eiehayc.","De Lehaye"
1880,"M. Goblet d'Alvirtla.","Goblet d'Alviella"
1880,"M. Rolln-Jaequemyns, ministre de l'intérieur,","Rolin-Jaequemyns"
1880,"M. Coomaus.","Coomans"
1884,"M. Goblet d'Alvlcllo.","Goblet d'Alviella"
1884,"M. Hameau de »bale.","Houzeau de Lehaie"
1884,"Wanibcke.","Wambeke"
1884,"AI. Beernaerf, ministre des finances.","Beernaert"
1884,"M. Duaaant","Dumont"
1884,"M. De lleeker. ","De Decker"
1887,"M. Cwma'nai.","Coomans"
1887,"M. de Moreaiu, ministre de l'agriculture, de l'industrie et des travaux publics.","de Moreau"
1887,"M. d'OuItrenionl.","d'Oultremont"
1887,"M. lY.èrc-Orbnn.","Frère-Orban"
1887,"M. Corenaan*.","Coremans"
1890,"SB. Iflouzcau de Lcliaie.","Houzeau de Lehaie"
1890,"M. ISent'ïcoi.","Henricot"
1890,"Rfl. Itense.","Ronse"
1890,"M. de Sloreau, ministre de l'agriculture, de l'industrie et des travaux publics.","de Moreau"
1887,"M. BeeVnnert, ministre des finances.","Beernaert"
1893,"M. Eeauan","Eeman"
1893,"M. d'Andrlnient.","d'Andrimont"
1893,"M. Brlalaaoat.","Brialmont"
1893,"Rff. RIeyers.","Meyers"
1895,"M. de Snict de Maeyer, ministre des finances.","de Smet de Naeyer"
1895,"ML De Sadcleer.","De Sadeleer"
1895,"M. Sehollncrt, ministre de l'intérieur et de l'instruction publique.","Schollaert"
1895,"M. Defitct","Defnet"
1895,"M. Etorand.","Lorand"
1895,"M. Ilelleputfe.","Helleputte"
1899,"M. Un* ffaemen.","Van Naemen"
1899,"M. Jfonmoz.","Journez"
1899,"M. Dcllrnyn, ministre de l'agriculture et des travaux publics.","De Bruyn"
1899,"M. li. De Fuisscjuix.","Defuisseaux"
1902,"M. De Ponlhicrc.","De Ponthière"
1902,"M. Ilymnns.","Hymans"
1902,"AI. Snicets.","Smeets"
1902,"AI. l'andcrvelde.","Vandervelde"
1905,"M. Bertrnn-I.","Bertrand"
1905,"XI. Verstcylen.","Versteylen"
1905,"XI. de Bêfhnne.","de Bethune"
1905,"M. Iljmnns.","Hymans"
1905,"81. Yandcrvcldc.","Vandervelde"
1905,"M. de Smet de Hacyer, ministre des finances et des travaux publics.","de Smet de Naeyer"
1908,"M. MeeaelyaeL.","Mechelynck"
1908,"M. Treelet.","Troclet"
1908,"M. Ir-enl*.","Denis"
1908,"M. île «■kelllaek d'Elsegheam, rapporteur.","de Ghellinck d'Elseghem"
1908,"M, de tinelllnefc d'Kteefffcena, rapporteur,","de Ghellinck d'Elseghem"
1908,"M. Woeate.","Woeste"
1908,"M. VaaéVrveMe.","Vandervelde"
1912,"M. Van Mareke.","Van Marcke"
1912,"M. iJeri'yér, ministre de l'intérieur.","Berryer"
1912,"M. NoW.","Nolf"
1912,"M. Dejardln.","Dejardin"
1912,"M. DeU>eke","Delbeke"
1882,"Si. Tlionissen.","Thonissen"
1882,"M. Le Hardy de Bcaiilieii.","Le Hardy de Beaulieu"
1882,"M. Slnlou.","Malou"
1882,"M. Ileinenr.","Demeur"
1882,"M. Wvèrc-Orban, ministre des affaires étrangères.","Frère-Orban"
1882,"M. Jniison.","Janson"
1876,"ÎH. Delconr, ministre de l'intérieur","Delcour"
1876,"M. Rof 1er.","Rogier"
1876,"M. Thoiilsscn.","Thonissen"
1876,"M. -Deïeowr, ministre de l'intérieur.","Delcour"
1876,"M. €oomaiis.","Coomans"
1868,"Bf. LtHèTre,","Lelièvre"
1868,"Bf. Wontcrs.","Wouters"
1868,"1M. Reynncrt.","Reynaert"
1868,"AI. II> mous.","Hymans"
1868,"M. Rarn, ministre de la justice.","Bara"
1895,"M. de SIerode H/esterloo, ministre des affaires étrangères.","de Merode Westerloo"
1895,"M. Anscele.","Anseele"
